rank,name,realm,faction,rating,wins,losses,class,spec
247,Kotorî,proudmoore,ALLIANCE,2883,171,145,Shaman,Elemental
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Mage,Frost
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Unknown,Unknown
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Mage,Frost
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Mage,Frost
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Mage,Frost
250,Fromcanadaqc,alexstrasza,HORDE,2881,99,51,Mage,Frost
250,Rdz,sargeras,ALLIANCE,2881,490,391,Druid,Balance
252,Cdewlock,sargeras,ALLIANCE,2873,140,112,Warlock,Destruction
253,Burstnasty,blades-edge,ALLIANCE,2869,167,118,Unknown,Unknown
254,Gertka,stormrage,HORDE,2868,227,159,Unknown,Unknown
255,Bluedru,tichondrius,ALLIANCE,2867,233,162,Druid,Restoration
256,Orcroguehaha,dalaran,HORDE,2866,332,219,Rogue,Subtlety
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Mage,Frost
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Unknown,Unknown
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Mage,Frost
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Mage,Frost
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Mage,Frost
257,Fromcanadaqc,stormrage,ALLIANCE,2865,109,55,Mage,Frost
257,Seantate,stormrage,ALLIANCE,2865,157,91,Paladin,Retribution
259,Langneurr,medivh,ALLIANCE,2864,178,141,Unknown,Unknown
260,Bigbags,burning-legion,ALLIANCE,2863,180,101,Unknown,Unknown
260,Tritongodx,aerie-peak,ALLIANCE,2863,283,162,Monk,Mistweaver
260,Flokk,sargeras,ALLIANCE,2863,382,261,Warrior,Arms
260,Kopio,stormrage,ALLIANCE,2863,376,259,Paladin,Retribution
264,Dweamfuego,sargeras,ALLIANCE,2862,588,515,Unknown,Unknown
264,Onetrickpony,shadowmoon,ALLIANCE,2862,553,503,Demon Hunter,Havoc
266,Sleepiihead,stormrage,ALLIANCE,2860,384,270,Evoker,Preservation
266,Suenofuego,area-52,HORDE,2860,281,205,Evoker,Preservation
266,Rbtz,illidan,HORDE,2860,228,175,Hunter,Beast Mastery
269,Calmfour,twisting-nether,ALLIANCE,2859,118,75,Unknown,Unknown
269,Calmfour,twisting-nether,ALLIANCE,2859,118,75,Unknown,Unknown
270,Mæchïñé,area-52,ALLIANCE,2858,155,98,Warrior,Arms
270,Yewrd,illidan,ALLIANCE,2858,459,400,Unknown,Unknown
272,Insomnija,illidan,HORDE,2857,705,563,Shaman,Restoration
273,Circle,deathwing,ALLIANCE,2856,203,186,Rogue,Assassination
274,Downbadkevin,tichondrius,ALLIANCE,2853,497,371,Monk,Mistweaver
275,Jaqenhghar,twisting-nether,ALLIANCE,2851,286,200,Unknown,Unknown
276,Déxx,area-52,ALLIANCE,2850,186,106,Druid,Balance
277,Rebirthstory,illidan,ALLIANCE,2847,89,31,Unknown,Unknown
277,Jessicãjin,illidan,ALLIANCE,2847,359,233,Warrior,Arms
277,Reileralt,tichondrius,HORDE,2847,234,184,Hunter,Marksmanship
280,Rmpenjoyerx,illidan,ALLIANCE,2846,210,157,Unknown,Unknown
281,Marvin,stormreaver,ALLIANCE,2843,243,172,Paladin,Unknown
282,Succubuspro,tichondrius,ALLIANCE,2842,192,91,Warlock,Destruction
282,Juicemage,tichondrius,ALLIANCE,2842,367,269,Unknown,Unknown
282,Yoske,tichondrius,ALLIANCE,2842,324,252,Hunter,Beast Mastery
285,Noiyvne,sargeras,ALLIANCE,2838,345,230,Priest,Shadow
286,Sharingañ,sargeras,ALLIANCE,2837,201,141,Mage,Fire
286,Negidam,area-52,ALLIANCE,2837,226,159,Druid,Feral
288,Orcbrta,area-52,HORDE,2836,422,346,Unknown,Unknown
289,Skdh,bleeding-hollow,ALLIANCE,2835,243,176,Demon Hunter,Havoc
290,Montage,illidan,ALLIANCE,2834,205,134,Paladin,Holy
